t response
0.0 0.0
6.845050577238194e-05 0.0010289418912848847
0.00013690101154476388 0.004041202574326053
0.00020535151731714582 0.008926349510608445
0.00027380202308952776 0.01557593724893791
0.0003422525288619097 0.023883624115224156
0.00041070303463429164 0.03374527847565889
0.0004791535404066736 0.045059074904825525
0.0005476040461790555 0.05772558059343247
0.0006160545519514375 0.07164783233266858
0.0006845050577238194 0.08673140441368188
0.0007529555634962013 0.1028844677814077
0.0008214060692685833 0.12001784078197486
0.0008898565750409652 0.13804503184222439
0.0009583070808133472 0.15688227441852942
0.001026757586585729 0.17644855455013986
0.001095208092358111 0.19666563134973614
0.001163658598130493 0.21745805076077918
0.001232109103902875 0.2387531529076553
0.0013005596096752569 0.2604810733605344
0.0013690101154476388 0.28257473863234184
0.0014374606212200207 0.304969856220326
0.0015059111269924027 0.32760489949938865
0.0015743616327647846 0.35042108776870406
0.0016428121385371666 0.3733623617471721
0.0017112626443095485 0.3963753548069998
0.0017797131500819304 0.419409360228183
0.0018481636558543124 0.4424162947499064
0.0019166141616266943 0.4653506586879189
0.001985064667399076 0.48816949287979694
0.002053515173171458 0.5108323327127082
0.0021219656789438403 0.5333011594808446
0.002190416184716222 0.5555403493121491
0.002258866690488604 0.5775166198963165
0.002327317196260986 0.5991989752383288
0.002395767702033368 0.620558648654029
0.00246421820780575 0.6415690442164323
0.0025326687135781316 0.6622056768536633
0.0026011192193505137 0.6824461112915882
0.002669569725122896 0.7022699000264243
0.0027380202308952776 0.7216585205048358
0.0028064707366676593 0.7405953116813146
0.0028749212424400415 0.7590654101149796
0.0029433717482124236 0.7770556857603488
0.0030118222539848053 0.7945546775991278
0.003080272759757187 0.8115525292526615
0.0031487232655295692 0.8280409247073782
0.0032171737713019514 0.8440130242783788
0.003285624277074333 0.8594634009292508
0.003354074782846715 0.8743879770592546
0.003422525288619097 0.8887839618622262
0.003490975794391479 0.9026497893548965
0.003559426300163861 0.9159850571658152
0.0036278768059362426 0.9287904661697308
0.0036963273117086247 0.9410677610460819
0.003764777817481007 0.9528196718342429
0.0038332283232533886 0.9640498565523096
0.0039016788290257703 0.9747628449405322
0.003970129334798152 0.9849639833849929
0.004038579840570535 0.9946593810717981
0.004107030346342916 1.0038558574168985
0.004175480852115298 1.0125608908116845
0.004243931357887681 1.0207825687196954
0.004312381863660062 1.0285295391551814
0.004380832369432444 1.0358109635698176
0.004449282875204826 1.0426364711696083
0.004517733380977208 1.0490161146799555
0.00458618388674959 1.0549603275729562
0.004654634392521972 1.0604798827672786
0.004723084898294354 1.0655858528074167
0.004791535404066736 1.0702895715257477
