0.000 0.000
0.098 0.005
0.195 0.019
0.293 0.042
0.391 0.073
0.488 0.113
0.586 0.161
0.684 0.215
0.781 0.276
0.879 0.342
0.977 0.413
1.074 0.489
1.172 0.568
1.270 0.649
1.367 0.732
1.465 0.816
1.563 0.900
1.660 0.984
1.758 1.066
1.855 1.146
1.953 1.222
2.051 1.296
2.148 1.365
2.246 1.429
2.344 1.488
2.441 1.541
2.539 1.589
2.637 1.629
2.734 1.663
2.832 1.690
2.930 1.710
3.027 1.723
3.125 1.729
3.223 1.728
3.320 1.720
3.418 1.705
3.516 1.684
3.613 1.657
3.711 1.624
3.809 1.586
3.906 1.543
4.004 1.496
4.102 1.445
4.199 1.391
4.297 1.335
4.395 1.276
4.492 1.216
4.590 1.154
4.688 1.093
4.785 1.032
4.883 0.972
4.980 0.913
5.078 0.856
5.176 0.802
5.273 0.750
5.371 0.702
5.469 0.658
5.566 0.618
5.664 0.582
5.762 0.550
5.859 0.524
5.957 0.503
6.055 0.486
6.152 0.475
6.250 0.469
6.348 0.468
6.445 0.473
6.543 0.482
6.641 0.496
6.738 0.514
6.836 0.536
6.934 0.563
7.031 0.593
7.129 0.626
7.227 0.663
7.324 0.701
7.422 0.742
7.520 0.784
7.617 0.828
7.715 0.872
7.813 0.917
7.910 0.962
8.008 1.006
8.105 1.049
8.203 1.091
8.301 1.132
8.398 1.170
8.496 1.206
8.594 1.239
8.691 1.269
8.789 1.297
8.887 1.321
8.984 1.341
9.082 1.358
9.180 1.371
9.277 1.380
9.375 1.386
9.473 1.388
9.570 1.386
9.668 1.381
9.766 1.372
9.863 1.359
9.961 1.344
10.059 1.325
10.156 1.304
10.254 1.281
10.352 1.255
10.449 1.227
10.547 1.198
10.645 1.168
10.742 1.136
10.840 1.104
10.938 1.071
11.035 1.039
11.133 1.006
11.230 0.974
11.328 0.943
11.426 0.914
11.523 0.885
11.621 0.858
11.719 0.833
11.816 0.811
11.914 0.790
12.012 0.772
12.109 0.756
12.207 0.743
12.305 0.732
12.402 0.725
12.500 0.720
12.598 0.717
12.695 0.718
12.793 0.721
12.891 0.727
12.988 0.735
13.086 0.745
13.184 0.758
13.281 0.773
13.379 0.789
13.477 0.808
13.574 0.827
13.672 0.848
13.770 0.870
13.867 0.893
13.965 0.916
14.063 0.940
14.160 0.964
14.258 0.988
14.355 1.011
14.453 1.034
14.551 1.056
14.648 1.077
14.746 1.097
14.844 1.116
14.941 1.133
15.039 1.148
15.137 1.162
15.234 1.174
15.332 1.185
15.430 1.193
15.527 1.199
15.625 1.204
15.723 1.206
15.820 1.206
15.918 1.204
16.016 1.201
16.113 1.196
16.211 1.188
16.309 1.180
16.406 1.169
16.504 1.158
16.602 1.145
16.699 1.131
16.797 1.116
16.895 1.100
16.992 1.084
17.090 1.067
17.188 1.049
17.285 1.032
17.383 1.015
17.480 0.998
17.578 0.981
17.676 0.965
17.773 0.949
17.871 0.934
17.969 0.920
18.066 0.907
18.164 0.895
18.262 0.885
18.359 0.876
18.457 0.868
18.555 0.861
18.652 0.856
18.750 0.852
18.848 0.850
18.945 0.850
19.043 0.850
19.141 0.852
19.238 0.856
19.336 0.861
19.434 0.867
19.531 0.874
19.629 0.882
19.727 0.891
19.824 0.901
19.922 0.912
20.020 0.923
20.117 0.935
20.215 0.947
20.313 0.960
20.410 0.972
20.508 0.985
20.605 0.998
20.703 1.010
20.801 1.022
20.898 1.034
20.996 1.045
21.094 1.055
21.191 1.065
21.289 1.073
21.387 1.081
21.484 1.089
21.582 1.095
21.680 1.100
21.777 1.104
21.875 1.107
21.973 1.109
22.070 1.110
22.168 1.109
22.266 1.108
22.363 1.106
22.461 1.103
22.559 1.099
22.656 1.094
22.754 1.088
22.852 1.082
22.949 1.075
23.047 1.067
23.145 1.059
23.242 1.050
23.340 1.041
23.438 1.032
23.535 1.023
23.633 1.014
23.730 1.005
23.828 0.996
23.926 0.987
24.023 0.978
24.121 0.970
24.219 0.962
24.316 0.955
24.414 0.948
24.512 0.942
24.609 0.937
24.707 0.932
24.805 0.928
24.902 0.925
25.000 0.923
